prop,TSVC_prior_work-gcc,TSVC_prior_work-clang,TSVC_prior_work-icc,TSVC_new-gcc,TSVC_new-clang,TSVC_new-icc,LORE_mem_write-4uf,LORE_mem_write-8uf,LORE_no_mem_write-4uf,LORE_no_mem_write-8uf
total-fns,27,28,26,21,26,38,11,11,16,16
failing-fns,0,0,0,0,0,0,0,0,0,0
avg-ALOC,16,19,19,25,31,29,19,24,29,37
max-ALOC,44,51,40,64,72,95,28,53,48,100
avg-product-CFG-nodes,3.0,3.1,3.2,3.5,3.4,3.5,4.4,4.4,4.8,5.0
max-product-CFG-nodes,4,5,5,5,5,6,7,7,7,8
avg-product-CFG-edges,3.2,3.3,3.5,4.0,3.9,4.2,5.2,5.2,5.9,6.8
max-product-CFG-edges,7,7,9,7,8,11,9,9,9,18
avg-total-CEs-node,17,27,18,18,28,18,16,24,20,30
avg-gen-CEs-node,13,22,13,12,22,13,10,17,10,16
BFS-avg-eqtime,208.7,70.0,18.3,200.6,3842.1,109.6,106.9,2243.1,131.2,675.6
BFS-avg-paths-enum,44.2,89.0,56.7,95.0,160.1,102.9,178.8,344.3,232.3,468.6
BFS-avg-paths-pruned,28.4,45.4,31.6,48.8,80.3,53.6,66.5,97.8,129.6,250.6
BFS-avg-paths-expanded,3.3,3.9,4.2,4.6,5.3,5.8,7.1,8.5,8.9,14.8
DFS-mem-timeout-reached,0,2,1,1,6,1,0,1,12,16
DFS-avg-paths-enum,173.3,3094.4,314.8,5776.2,14922.2,2635.2,301.2,561.4,17517.7,27726.6
DFS-avg-paths-expanded,35.0,251.7,52.2,518.2,913.7,262.4,110.7,207.6,4581.5,3780.6
avg-paths-expanded-DFS-by-BFS,11,65,12,113,172,45,16,24,515,255
